,trough,expansion,peak,contraction,all_data
XLB,0.33888189636237925,0.509169949728599,0.84745847017039,-0.29978630702138015,0.6304109635022891
XLI,-0.5948423746295716,1.2027359239394477,1.5408885982818805,-1.0352147031258077,0.7507591503307053
XLF,1.4085379987986213,1.2783613787385537,1.9117667418327204,-1.5586794717292316,0.6423927980287347
XLK,1.400608285955819,0.9402419132749589,2.434286660994545,0.22144416123702831,1.0542623890914917
XLY,1.5992316289465192,1.2001016194741843,0.773199114571952,-0.5165482275781851,0.5929785529758728
XLP,-0.6045893368407416,0.9822344845862628,0.8759442582073966,0.03899137373000151,0.6118125548963625
XLE,-1.422407782940022,0.8764940417069049,0.8112000904045511,0.028250479948722443,0.7938523337755876
XLV,-0.06387344270276181,1.6266139468727985,2.104816251598112,-0.7342945272827452,0.6445572103516536
VOX,0.24019192452753316,1.0286867120717573,1.3977660060748531,-0.19449810908568838,0.5187801852072563
XLU,-1.3510154184237362,1.0880530968629036,1.281316321250858,-0.724552688678524,0.6023049121654728
IYR,-2.9740897356163387,0.899600213199106,0.6293301448745392,-0.32193866137949806,0.5036639527225395
