,trough,expansion,peak,contraction,all_data
XLB,10.698518427976994,1.3276142433821938,1.1192813269421884,0.2953834149781929,1.4113985743615687
XLI,4.169143529821991,1.2501471546184046,3.2371956569598326,0.43291059446761326,0.8768610721481541
XLF,13.229980026485075,1.3258121570826844,1.2548961251056059,-5.39171539762377,0.7605823612616882
XLK,7.7817676416370105,0.7053943875352991,0.0,-0.4645589082287083,0.577926889286789
XLY,9.886453161701557,1.1933969992179008,1.2249442092100067,0.8171739192896719,0.9406941896235348
XLP,0.9341625502793421,1.4048832702377823,0.0,1.4776705419968785,0.7566180723210744
XLE,8.472552392822326,0.4607412504185933,5.170586936616822,1.6702344044660489,1.6197735326981761
XLV,5.245735394158011,1.0045189624082898,0.3740067788145705,-1.7581097642107302,0.7010215163254627
VOX,5.534202202529424,1.7021322022031762,1.9926603447734654,-0.9667598458183108,0.7660188883266323
XLU,0.10808858064103562,1.2337846146236,0.0,-0.5522084407060814,0.9884240512829413
IYR,11.026066221677794,0.9547640475881056,0.5717178009653451,3.1975015619761695,0.7469451245683288
