,trough,expansion,peak,contraction,all_data
XLB,2.6420078492124004,2.628740912181549,4.352658587732894,0.9654660649023187,1.8074542706313352
XLI,1.3645125921250167,3.6531080108777414,4.77509855996956,-2.270746545288248,2.164055324511801
XLF,-7.631827670090705,3.8629083765637158,6.946091276012062,-6.407877868077094,1.998468092593348
XLK,3.8211257056556365,3.0827868440303376,5.315928006365597,-1.552044628504427,2.7906335636766686
XLY,5.436646555450951,3.7243699578955334,3.1502533569692757,-0.32328432631887183,2.2250941608229278
XLP,-0.5159699806069681,3.1112234283008493,2.625831601971424,1.0579214203556442,2.0687425228958616
XLE,2.2335805118101963,1.6229000595089844,1.8569711739615644,2.4089609943954384,1.7652489213171592
XLV,1.2735815660199445,4.17414871800708,3.8309724091505597,-1.9819550376239856,2.2692730182935614
VOX,6.409118507953325,2.4012300639717794,4.040921807289454,-2.512106534866281,1.51667757960433
XLU,-2.793816421650103,2.103303660484019,2.593150264973793,-2.176317210027333,1.9962051096244973
IYR,-7.199834548181865,1.898580791511043,2.5504569295738304,1.543379486757533,2.0488553266115943
